iter	RMSE
0	98.97015953
1	94.41156218
2	89.95811431
3	85.80492067
4	81.89544326
5	78.02742983
6	74.37981537
7	70.94561524
8	67.5613299
9	64.41626821
10	61.34546846
11	58.51215081
12	55.81066233
13	53.17688235
14	50.68142495
15	48.34238764
16	46.06612458
17	43.85383806
18	41.87435334
19	39.89308986
20	38.01663496
21	36.22921197
22	34.5363771
23	32.94816492
24	31.4209044
25	29.94530495
26	28.51184627
27	27.18572864
28	25.88946705
29	24.74530281
30	23.58131214
31	22.47151575
32	21.45483327
33	20.45864044
34	19.51021025
35	18.59169674
36	17.73219477
37	16.92142156
38	16.11986706
39	15.36090086
40	14.65338606
41	13.97175088
42	13.33475268
43	12.74026582
44	12.17318029
45	11.62232135
46	11.09420226
47	10.59082646
48	10.10783938
49	9.652077053
50	9.218279072
51	8.803059165
52	8.40741313
53	8.032916631
54	7.674174868
55	7.336266044
56	7.016360871
57	6.709760365
58	6.423530775
59	6.145062353
60	5.883973379
61	5.63850321
62	5.405405592
63	5.18224114
64	4.97140137
65	4.769004368
66	4.581278592
67	4.406248784
68	4.239029357
69	4.080560316
70	3.926643839
71	3.781589223
72	3.649705465
73	3.518636555
74	3.39717839
75	3.285783578
76	3.180204954
77	3.08396416
78	2.98666667
79	2.900913513
80	2.823686278
81	2.74285648
82	2.671399332
83	2.602363848
84	2.535734297
85	2.476389824
86	2.42173009
87	2.368955255
88	2.321762393
89	2.277183004
90	2.237146902
91	2.198135008
92	2.162938561
93	2.128158516
94	2.091736426
95	2.064151388
96	2.038203315
97	2.013592498
98	1.983721622
99	1.961462869
100	1.93478536
101	1.915511926
102	1.896895054
103	1.875035655
104	1.858161932
105	1.843313002
106	1.827087639
107	1.809302172
108	1.792877722
109	1.780977418
110	1.771517758
111	1.757976393
112	1.74807261
113	1.739177953
114	1.726974132
115	1.719150313
116	1.712797025
117	1.701082943
118	1.690516527
119	1.684134783
120	1.674618154
121	1.665930593
122	1.659756109
123	1.650825355
124	1.646376926
125	1.638215714
126	1.633157794
127	1.624871903
128	1.62023077
129	1.613876247
130	1.609237859
131	1.601312973
132	1.596369095
133	1.589749839
134	1.5843986
135	1.579618439
136	1.576694028
137	1.571973846
138	1.566820829
139	1.563183025
140	1.558767438
