iter	Passed	Remaining
0	226	226439
1	289	144496
2	379	126251
3	421	104994
4	518	103157
5	548	90863
6	586	83240
7	645	80069
8	1292	142320
9	1554	153886
10	1598	143680
11	1623	133638
12	1650	125295
13	1686	118806
14	1719	112909
15	1764	108486
16	1785	103218
17	1812	98892
18	1915	98884
19	2029	99424
20	2052	95675
21	2074	92209
22	2097	89080
23	2129	86605
24	2158	84195
25	2201	82488
26	2223	80139
27	2273	78912
28	2296	76877
29	2317	74928
30	2343	73261
31	2365	71569
32	2397	70253
33	2443	69428
34	2463	67918
35	2495	66817
36	2561	66676
37	2627	66528
38	2678	65999
39	2699	64786
40	2730	63859
41	2769	63160
42	2805	62449
43	2841	61733
44	2874	61005
45	2893	60014
46	2912	59049
47	2940	58310
48	2956	57386
49	3006	57117
50	3085	57421
51	3142	57286
52	3201	57209
53	3221	56442
54	3260	56026
55	3292	55506
56	3324	55001
57	3359	54563
58	3407	54342
59	3430	53741
60	3451	53131
61	3471	52519
62	3508	52178
63	3540	51772
64	3575	51431
65	3619	51224
66	3636	50634
67	3653	50072
68	3685	49731
69	3704	49217
70	3724	48726
71	3749	48321
72	3787	48093
73	3814	47727
74	3832	47273
75	3858	46908
76	3910	46878
77	3930	46462
78	3948	46031
79	3965	45603
80	3982	45187
81	3996	44743
82	4009	44292
83	4022	43859
84	4038	43478
85	4061	43168
86	4098	43014
87	4124	42746
88	4144	42421
89	4171	42174
90	4195	41908
91	4226	41716
92	4246	41410
93	4261	41071
94	4281	40789
95	4297	40468
96	4312	40150
97	4329	39853
98	4345	39549
99	4366	39294
100	4383	39016
101	4408	38808
102	4446	38719
103	4471	38526
104	4494	38306
105	4523	38150
106	4555	38020
107	4578	37818
108	4622	37781
109	4653	37654
110	4675	37448
111	4699	37260
112	4728	37119
113	4758	36980
114	4790	36863
115	4838	36872
116	4870	36759
117	4900	36626
118	4931	36513
119	4951	36311
120	4976	36150
121	5006	36032
122	5045	35975
123	5078	35873
124	5112	35790
125	5162	35811
126	5198	35734
